#{"t_start": 1732944865.6448002, "env_id": "None"}
r,l,t
-39.959957,999,3.749946
-38.626343,999,3.750037
-39.319565,999,3.750058
-39.26452,999,3.750071
-36.507847,999,3.750082
-39.115517,999,3.750094
-37.792007,999,3.750105
-38.230312,999,3.750116
-15.49282,999,6.523883
-15.992049,999,6.524008
-15.25037,999,6.524038
-15.695579,999,6.524053
-14.098232,999,6.524066
-13.869232,999,6.524078
-16.148567,999,6.52409
-15.094467,999,6.524103
-4.834784,999,9.267568
-4.7328134,999,9.267721
-4.8030086,999,9.267755
-4.499955,999,9.26777
-4.7296653,999,9.267788
-4.232934,999,9.267883
-4.498378,999,9.267931
-4.4577436,999,9.267948
-1.3574836,999,12.055769
-1.4112335,999,12.055887
-1.3794225,999,12.055923
-1.4329342,999,12.055935
-1.4346364,999,12.055945
-1.4480591,999,12.055955
-1.3236579,999,12.055965
-1.4846326,999,12.055975
-0.5840245,999,14.850715
-0.5342952,999,14.850816
-0.5278122,999,14.850838
-0.5026846,999,14.850849
-0.5197638,999,14.850857
-0.5540877,999,14.850865
-0.48769417,999,14.850874
-0.5238087,999,14.850883
-0.24425924,999,17.586463
-0.24153863,999,17.586571
-0.25574052,999,17.586592
-0.24453728,999,17.586602
-0.24613963,999,17.586611
-0.25800493,999,17.58662
-0.26103467,999,17.586629
-0.26937765,999,17.586637
-0.14809701,999,20.327302
-0.13859957,999,20.327413
-0.15858589,999,20.327433
-0.1416461,999,20.327443
-0.15201077,999,20.327452
-0.15427874,999,20.327461
-0.14601244,999,20.327472
-0.16162522,999,20.327484
-0.08994618,999,23.021212
-0.088416085,999,23.021329
-0.08746416,999,23.021351
-0.08686558,999,23.021363
-0.09255091,999,23.021375
-0.100210726,999,23.021386
-0.09131778,999,23.021397
-0.08794895,999,23.021408
-0.07354266,999,25.740275
-0.07081994,999,25.740386
-0.06517946,999,25.740408
-0.06708018,999,25.740418
-0.06582506,999,25.740427
-0.060173247,999,25.740435
-0.072550654,999,25.740445
-0.06329276,999,25.740453
-0.04925453,999,28.529965
-0.04483023,999,28.530073
-0.046359118,999,28.530096
-0.04673426,999,28.530108
-0.045186073,999,28.530119
-0.044616386,999,28.53013
-0.043617968,999,28.530141
-0.04953655,999,28.530153
-0.03532151,999,31.276315
-0.037395623,999,31.276447
-0.03431929,999,31.276478
-0.032862313,999,31.276493
-0.03261877,999,31.276514
-0.031648286,999,31.276528
-0.035346903,999,31.276542
-0.036899388,999,31.276557
-0.029543705,999,34.013673
-0.030089024,999,34.013792
-0.029741133,999,34.013814
-0.031382266,999,34.013824
-0.028143916,999,34.013833
-0.029735064,999,34.013842
-0.030130323,999,34.013851
-0.029669538,999,34.013859
